timestamp,sensor_id,nh3_ppm,co2_ppm,temperature_c,humidity_percent,tds_ppm,outdoor_temp_c,outdoor_humidity_percent,pressure_hpa,wind_speed_ms,rain_forecast,outbreak_occurred,mortality_count,pfsi_score
2026-02-20T16:47:54.317702,1,11.4,908.1,26.4,60.2,285.2,31.5,57.0,1011.7,2.0,No rain expected,0,0,80.0
2026-02-20T17:47:54.317702,1,12.9,941.2,24.6,56.7,296.1,30.1,56.7,1011.8,3.3,No rain expected,0,0,80.6
2026-02-20T18:47:54.317702,1,11.5,937.1,24.9,61.5,305.0,30.2,59.8,1011.0,3.4,No rain expected,0,0,81.2
2026-02-20T19:47:54.317702,1,11.9,940.6,24.1,59.0,308.2,29.2,61.9,1011.5,4.4,No rain expected,0,0,82.6
2026-02-20T20:47:54.317702,1,11.1,926.2,24.3,66.4,298.6,27.4,70.8,1009.8,3.8,No rain expected,0,0,83.1
2026-02-20T21:47:54.317702,1,11.2,915.9,23.2,69.3,297.3,27.6,74.4,1011.1,3.1,No rain expected,0,0,82.6
2026-02-20T22:47:54.317702,1,11.1,908.5,22.8,67.5,305.4,24.4,75.3,1011.0,2.0,No rain expected,0,0,85.9
2026-02-20T23:47:54.317702,1,11.6,916.1,23.2,68.6,309.8,25.7,78.3,1010.8,2.1,No rain expected,0,0,84.4
2026-02-21T00:47:54.317702,1,12.8,924.0,22.6,68.3,305.5,22.8,80.3,1009.8,0.9,No rain expected,0,0,86.2
2026-02-21T01:47:54.317702,1,16.4,1008.8,22.8,76.2,292.0,22.9,88.7,1009.8,1.0,No rain expected,0,0,82.8
2026-02-21T02:47:54.317702,1,15.4,972.2,22.3,74.0,292.3,22.3,82.5,1009.5,0.9,No rain expected,0,0,83.3
2026-02-21T03:47:54.317702,1,13.6,971.3,22.7,72.2,309.2,24.0,88.9,1008.6,2.0,No rain expected,0,0,83.5
2026-02-21T04:47:54.317702,1,12.9,962.4,22.8,68.8,301.6,24.6,78.4,1008.5,2.5,No rain expected,0,0,84.5
2026-02-21T05:47:54.317702,1,11.9,913.9,22.5,70.6,296.6,24.5,75.8,1008.6,3.1,No rain expected,0,0,84.0
2026-02-21T06:47:54.317702,1,11.1,915.9,23.1,68.1,300.8,26.3,79.8,1007.4,4.0,No rain expected,0,0,84.3
2026-02-21T07:47:54.317702,1,11.7,909.2,23.8,65.3,299.0,27.6,73.0,1006.9,3.9,No rain expected,0,0,83.4
2026-02-21T08:47:54.317702,1,11.8,928.6,23.9,62.2,310.9,26.8,68.5,1006.9,3.4,No rain expected,0,0,84.8
2026-02-21T09:47:54.317702,1,12.5,956.3,24.3,60.5,287.1,29.7,61.9,1006.2,3.0,No rain expected,0,0,82.1
2026-02-21T10:47:54.317702,1,11.8,922.8,24.9,65.5,310.9,31.6,65.8,1006.1,2.8,No rain expected,0,0,78.5
2026-02-21T11:47:54.317702,1,11.3,903.6,26.4,57.9,297.1,32.3,59.4,1005.9,2.1,No rain expected,0,0,78.5
2026-02-21T12:47:54.317702,1,12.7,944.6,26.0,60.5,308.7,31.1,55.4,1004.9,1.6,No rain expected,0,0,79.6
2026-02-21T13:47:54.317702,1,11.7,918.7,26.6,61.0,285.7,33.6,58.9,1005.3,1.0,No rain expected,0,0,77.4
2026-02-21T14:47:54.317702,1,12.7,957.7,26.4,60.2,287.9,32.5,56.6,1005.6,1.6,No rain expected,0,0,78.3
2026-02-21T15:47:54.317702,1,11.6,906.0,26.7,60.5,302.2,32.3,58.2,1004.4,1.3,No rain expected,0,0,78.7
2026-02-21T16:47:54.317702,1,11.3,935.6,26.6,58.8,289.3,32.7,61.8,1005.5,2.8,No rain expected,0,0,78.2
